New Tripoli tab-delimited output of processed data for:
23-PP-5 z30 Pb-2399 in New Session-23-PP-5 z30 Pb-2399-report.tsv
produced on: 03/19/26 07:54:24

Data is presented by cycles.
Any discarded values are wrapped in &s.
Any missing values are represented as a blank entry.

Cycle            	Time             	204Pb            	205Pb            	206Pb            	207Pb            	208Pb            	204/205          	206/205          	207/205          	208/205          	206/207          	206/208          	207/208          	206/204          	207/204          	208/204          	alpha 204/206    	alpha 207/206    	alpha 208/206
39.0             	2303.377         	54.87925063      	101761.712       	525191.2447      	26417.51754      	116213.3908      	5.392917392E-4   	5.160990657      	0.2596017405     	1.142014895      	19.88041624      	4.519197325      	0.2273190496     	9569.941985      	481.375333       	2117.619855      	1.0              	-82.27782105     	367.581946
40.0             	2339.267         	55.59677402      	101316.4714      	523319.1518      	26214.51583      	115645.5542      	5.487436867E-4   	5.165193228      	0.2587389343     	1.141428956      	19.96295317      	4.52519905       	0.226679841      	9412.761101      	471.5114554      	2080.076699      	1.0              	-82.29224039     	368.9744396
&41.0&           	&2606.515&       	&54.99678945&    	&99221.42807&    	&511855.8265&    	&25652.8973&     	&112876.0001&    	&5.542833894E-4& 	&5.158722632&    	&0.2585419078&   	&1.137617169&    	&19.95313903&    	&4.534673677&    	&0.2272661795&   	&9307.012857&    	&466.4435426&    	&2052.410718&    	&1.0&            	&-82.27002951&   	&369.2937267&
&42.0&           	&2642.405&       	&54.06596338&    	&99007.25952&    	&510268.1979&    	&25644.35596&    	&112652.2978&    	&5.460807989E-4& 	&5.153846297&    	&0.2590149054&   	&1.137818564&    	&19.89787534&    	&4.529585351&    	&0.2276416589&   	&9437.882283&    	&474.3160827&    	&2083.608444&    	&1.0&            	&-82.25325423&   	&368.5280374&
&43.0&           	&2678.295&       	&52.67141034&    	&98830.41627&    	&508524.8512&    	&25581.05599&    	&112210.225&     	&5.329473691E-4& 	&5.145428609&    	&0.2588378857&   	&1.135381488&    	&19.87896244&    	&4.531894051&    	&0.2279743756&   	&9654.665557&    	&485.6725085&    	&2130.38201&     	&1.0&            	&-82.22422135&   	&368.8142695&
&44.0&           	&2714.185&       	&53.29260368&    	&98478.67044&    	&506817.3191&    	&25429.14411&    	&111888.9103&    	&5.411588463E-4& 	&5.146467929&    	&0.2582198155&   	&1.136174054&    	&19.9305693&     	&4.529647468&    	&0.2272713538&   	&9510.087406&    	&477.1608508&    	&2099.520431&    	&1.0&            	&-82.22781114&   	&369.8167355&
&45.0&           	&2750.076&       	&53.3421989&     	&98059.26932&    	&505045.7965&    	&25286.80785&    	&111368.3497&    	&5.439791594E-4& 	&5.150413622&    	&0.257872693&    	&1.135724858&    	&19.97269879&    	&4.534913175&    	&0.2270556034&   	&9468.034819&    	&474.0488463&    	&2087.809502&    	&1.0&            	&-82.24142628&   	&370.3818511&
&46.0&           	&2785.965&       	&54.53094387&    	&97608.7543&     	&502921.9682&    	&25218.27997&    	&110996.2129&    	&5.58668577E-4&  	&5.152426868&    	&0.2583608422&   	&1.137154282&    	&19.94275458&    	&4.530983131&    	&0.227199463&    	&9222.689588&    	&462.4581601&    	&2035.472065&    	&1.0&            	&-82.24836522&   	&369.5875779&
&47.0&           	&2821.856&       	&54.70969361&    	&97117.65767&    	&501077.4469&    	&25220.92156&    	&110986.7287&    	&5.63334155E-4&  	&5.159488593&    	&0.2596945001&   	&1.142806894&    	&19.86753123&    	&4.514751023&    	&0.227242679&    	&9158.842132&    	&460.9954817&    	&2028.648332&    	&1.0&            	&-82.27266165&   	&367.432791&
&48.0&           	&2857.746&       	&53.46468675&    	&96699.89825&    	&499267.7816&    	&25148.80757&    	&110548.5434&    	&5.528928956E-4& 	&5.163064188&    	&0.2600706725&   	&1.143212613&    	&19.85254292&    	&4.516276438&    	&0.2274910804&   	&9338.271894&    	&470.38165&      	&2067.692716&    	&1.0&            	&-82.28493842&   	&366.8290063&
&49.0&           	&2893.636&       	&52.74263428&    	&96406.4586&     	&497918.1737&    	&24924.29775&    	&110189.5242&    	&5.470861086E-4& 	&5.164780254&    	&0.2585334854&   	&1.142968281&    	&19.97721977&    	&4.518743295&    	&0.2261948033&   	&9440.525308&    	&472.5645219&    	&2089.192656&    	&1.0&            	&-82.29082449&   	&369.3073862&
&50.0&           	&2929.527&       	&49.65425978&    	&96176.49839&    	&496462.4894&    	&24843.37914&    	&109439.0378&    	&5.162826742E-4& 	&5.16199381&     	&0.2583102895&   	&1.137897924&    	&19.98369411&    	&4.536429589&    	&0.2270065567&   	&9998.386675&    	&500.3272479&    	&2204.021131&    	&1.0&            	&-82.28126508&   	&369.6696934&
51.0             	3187.493         	67.74852005      	125928.4366      	648952.7163      	32538.98348      	143287.4875      	5.379922272E-4   	5.153345297      	0.2583926583     	1.137848538      	19.9438534       	4.529025721      	0.2270887992     	9578.847121      	480.2906905      	2114.990665      	1.0              	-82.25152891     	369.5359137
52.0             	3223.383         	67.13516398      	125376.725       	647714.8407      	32453.55755      	143051.1861      	5.354675197E-4   	5.166148984      	0.2588483432     	1.14097083       	19.95820766      	4.527853689      	0.2268667491     	9647.922226      	483.4062453      	2130.793724      	1.0              	-82.29551639     	368.7973493
53.0             	3259.274         	66.15723049      	125013.7875      	644903.373       	32294.60707      	142339.3407      	5.291994734E-4   	5.158657986      	0.258328363      	1.138589139      	19.96938286      	4.530745822      	0.226884619      	9748.040664      	488.1493199      	2151.531127      	1.0              	-82.26980733     	369.6403319
